Item,Amount,Calories,Carbs,Protein,Fat,Protein General
משולשים - אורז,25,107,18.5,,3,1.5
חטיף מצה חלבון אגוז,2150,3335.0,450.3,195.3,52.1,52.9
גבינת עיזים,100,103,3.7,10.8,3,
חומוס מבושל,100,62,5.5,,1,5
שעועית אדומה מבושלת,100,55,4.5,,1,6
חומוס פרי גליל פחית,100,113,12,,1.7,7
פחמימה,100,400,100,,,
חלבון,100,400,,100,,
שומן,100,900,,,100,
מצה,100,383,81,,1.5,9.5
TEST,1,2,3,4,5,6
קישוא,100,16,3.5,,,
יופלה גו - פירות יער,100,98,10,10,2,
יופלה גו - אננס לייט,100,61,4,10,0.5,
פירות קפואים,100,110,28,,,
לאבנה עיזים,100,97,6.5,6,5,
פודינג וניל,100,372,93,,,
סירופ - אשכולית,100,31,8,,,
סירופ - פטל,100,17,4,,,
סירופ - מירנדה,100,15,3.5,,,
סירופ - מרמולייט,100,8,2,,,
יופלה תות,150,128,17,4.5,3,
שוגר - מייפל,30,10,,,,
סירופ - שוקולד\ונילה,5,15,3.5,,,
סקי 5 אחוז,100,96,4,8,5,
סירופ סקיני,100,4,1,,,
מסטיק אורביט,100,176,72,,,
משקה שקדים,100,39,3,,2.5,0.8
פסיפלורה,100,97,24,,0.7,2.2
טופי,400,2400,,,,
כללי ממתק,100,650,50,,50,
סירופ קקאו,570,1350,244,,34.2,22
אבקת קקאו,100,350,52,,11,26
שמנת ,100,363,3.3,2,38,
סירופ גלוקוזה,100,312,78,,,
שוקולד סירופ - הרשי,100,259,60.7,,0.9,1.7
גלי תות,100,384.0,96,,,
גלי וניל,100,372.0,93,,,
מוצרלה 18%,100,230,,17,18,
קמח,100,339,72,,1,10
במבה,80,427,39,,24,13.5
